memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,pigClass
FR,France,07/09/2015,13/09/2015,37,"€149,00",100 KG,E
FR,France,07/09/2015,13/09/2015,37,"€154,65",100 KG,Average S + E
DE,Germany,07/09/2015,13/09/2015,37,"€152,23",100 KG,Average S + E
DE,Germany,07/09/2015,13/09/2015,37,"€150,48",100 KG,E
DE,Germany,07/09/2015,13/09/2015,37,"€36,30",P,Piglet
DE,Germany,07/09/2015,13/09/2015,37,"€154,22",100 KG,S
EL,Greece,07/09/2015,13/09/2015,37,"€173,27",100 KG,Average S + E
EL,Greece,07/09/2015,13/09/2015,37,"€173,27",100 KG,E
EL,Greece,07/09/2015,13/09/2015,37,"€173,27",100 KG,S
HU,Hungary,07/09/2015,13/09/2015,37,"€153,60",100 KG,Average S + E
HU,Hungary,07/09/2015,13/09/2015,37,"€155,46",100 KG,S
HU,Hungary,07/09/2015,13/09/2015,37,"€26,16",P,Piglet
HU,Hungary,07/09/2015,13/09/2015,37,"€152,28",100 KG,E
IE,Ireland,07/09/2015,13/09/2015,37,"€143,44",100 KG,E
IE,Ireland,07/09/2015,13/09/2015,37,"€143,71",100 KG,Average S + E
IE,Ireland,07/09/2015,13/09/2015,37,"€144,45",100 KG,S
IT,Italy,07/09/2015,13/09/2015,37,"€61,54",P,Piglet
IT,Italy,07/09/2015,13/09/2015,37,"€165,00",100 KG,E
IT,Italy,07/09/2015,13/09/2015,37,"€165,00",100 KG,Average S + E
IT,Italy,07/09/2015,13/09/2015,37,"€187,64",100 KG,R
LV,Latvia,07/09/2015,13/09/2015,37,"€108,16",100 KG,R
LV,Latvia,07/09/2015,13/09/2015,37,"€153,11",100 KG,E
LV,Latvia,07/09/2015,13/09/2015,37,"€150,76",100 KG,Average S + E
LV,Latvia,07/09/2015,13/09/2015,37,"€148,73",100 KG,S
LT,Lithuania,07/09/2015,13/09/2015,37,"€143,98",100 KG,E
LT,Lithuania,07/09/2015,13/09/2015,37,"€146,95",100 KG,S
LT,Lithuania,07/09/2015,13/09/2015,37,"€138,76",100 KG,R
LT,Lithuania,07/09/2015,13/09/2015,37,"€145,68",100 KG,Average S + E
LU,Luxembourg,07/09/2015,13/09/2015,37,"€151,83",100 KG,Average S + E
LU,Luxembourg,07/09/2015,13/09/2015,37,"€146,00",100 KG,E
LU,Luxembourg,07/09/2015,13/09/2015,37,"€120,40",100 KG,R
LU,Luxembourg,07/09/2015,13/09/2015,37,"€35,40",P,Piglet
LU,Luxembourg,07/09/2015,13/09/2015,37,"€154,60",100 KG,S
MT,Malta,07/09/2015,13/09/2015,37,"€228,00",100 KG,Average S + E
MT,Malta,07/09/2015,13/09/2015,37,"€228,00",100 KG,E
MT,Malta,07/09/2015,13/09/2015,37,"€232,50",100 KG,S
MT,Malta,07/09/2015,13/09/2015,37,"€228,50",100 KG,R
MT,Malta,07/09/2015,13/09/2015,37,"€91,36",P,Piglet
NL,Netherlands,07/09/2015,13/09/2015,37,"€131,03",100 KG,Average S + E
NL,Netherlands,07/09/2015,13/09/2015,37,"€131,60",100 KG,S
NL,Netherlands,07/09/2015,13/09/2015,37,"€18,50",P,Piglet
NL,Netherlands,07/09/2015,13/09/2015,37,"€130,46",100 KG,E
PL,Poland,07/09/2015,13/09/2015,37,"€35,47",P,Piglet
PL,Poland,07/09/2015,13/09/2015,37,"€147,46",100 KG,Average S + E
PL,Poland,07/09/2015,13/09/2015,37,"€149,68",100 KG,S
PL,Poland,07/09/2015,13/09/2015,37,"€146,74",100 KG,E
PT,Portugal,07/09/2015,13/09/2015,37,"€36,00",P,Piglet
PT,Portugal,07/09/2015,13/09/2015,37,"€162,00",100 KG,E
PT,Portugal,07/09/2015,13/09/2015,37,"€162,00",100 KG,Average S + E
RO,Romania,07/09/2015,13/09/2015,37,"€150,13",100 KG,Average S + E
RO,Romania,07/09/2015,13/09/2015,37,"€151,32",100 KG,S
RO,Romania,07/09/2015,13/09/2015,37,"€148,58",100 KG,E
SK,Slovakia,07/09/2015,13/09/2015,37,"€155,20",100 KG,S
SK,Slovakia,07/09/2015,13/09/2015,37,"€153,59",100 KG,Average S + E
SK,Slovakia,07/09/2015,13/09/2015,37,"€150,40",100 KG,E
SK,Slovakia,07/09/2015,13/09/2015,37,"€63,08",P,Piglet
SK,Slovakia,07/09/2015,13/09/2015,37,"€135,54",100 KG,R
SI,Slovenia,07/09/2015,13/09/2015,37,"€174,48",100 KG,S
SI,Slovenia,07/09/2015,13/09/2015,37,"€163,42",100 KG,E
SI,Slovenia,07/09/2015,13/09/2015,37,"€171,14",100 KG,Average S + E
ES,Spain,07/09/2015,13/09/2015,37,"€155,97",100 KG,R
ES,Spain,07/09/2015,13/09/2015,37,"€153,88",100 KG,S
ES,Spain,07/09/2015,13/09/2015,37,"€20,74",P,Piglet
ES,Spain,07/09/2015,13/09/2015,37,"€147,96",100 KG,E
ES,Spain,07/09/2015,13/09/2015,37,"€153,05",100 KG,Average S + E
SE,Sweden,07/09/2015,13/09/2015,37,"€181,48",100 KG,Average S + E
SE,Sweden,07/09/2015,13/09/2015,37,"€179,47",100 KG,E
SE,Sweden,07/09/2015,13/09/2015,37,"€75,91",P,Piglet
SE,Sweden,07/09/2015,13/09/2015,37,"€185,33",100 KG,S
UK,UK up to 01/02/2020,07/09/2015,13/09/2015,37,"€180,93",100 KG,Average S + E
UK,UK up to 01/02/2020,07/09/2015,13/09/2015,37,"€177,47",100 KG,E
UK,UK up to 01/02/2020,07/09/2015,13/09/2015,37,"€181,98",100 KG,S
UK,UK up to 01/02/2020,07/09/2015,13/09/2015,37,"€197,28",100 KG,R
UK,UK up to 01/02/2020,07/09/2015,13/09/2015,37,"€61,91",P,Piglet
AT,Austria,27/07/2015,02/08/2015,31,"€153,91",100 KG,Average S + E
AT,Austria,27/07/2015,02/08/2015,31,"€158,28",100 KG,S
AT,Austria,27/07/2015,02/08/2015,31,"€145,54",100 KG,E
